scope,cabinet,card,contour,group,param,topic
card,22,085,HPS,Мощность,Вт,/Теплица/Досветка/Карта/085/Контур/HPS/Мощность/Вт
card,22,085,HPS,Электрика,Ток_L1,/Теплица/Досветка/Карта/085/Контур/HPS/Электрика/Ток_L1
card,22,085,HPS,Электрика,Ток_L2,/Теплица/Досветка/Карта/085/Контур/HPS/Электрика/Ток_L2
card,22,085,HPS,Электрика,Ток_L3,/Теплица/Досветка/Карта/085/Контур/HPS/Электрика/Ток_L3
card,22,085,HPS,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/085/Контур/HPS/Электрика/Коэффициент_мощности
card,22,085,HPS,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/085/Контур/HPS/Энергия/Прямая_активная_кВтч
card,22,086,LED,Управление,Включено,/Теплица/Досветка/Карта/086/Контур/LED/Управление/Включено
card,22,086,LED,Управление,ШИМ_A,/Теплица/Досветка/Карта/086/Контур/LED/Управление/ШИМ_A
card,22,086,LED,Управление,ШИМ_B,/Теплица/Досветка/Карта/086/Контур/LED/Управление/ШИМ_B
card,22,086,LED,Мощность,Вт,/Теплица/Досветка/Карта/086/Контур/LED/Мощность/Вт
card,22,086,LED,Электрика,Ток_L1,/Теплица/Досветка/Карта/086/Контур/LED/Электрика/Ток_L1
card,22,086,LED,Электрика,Ток_L2,/Теплица/Досветка/Карта/086/Контур/LED/Электрика/Ток_L2
card,22,086,LED,Электрика,Ток_L3,/Теплица/Досветка/Карта/086/Контур/LED/Электрика/Ток_L3
card,22,086,LED,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/086/Контур/LED/Электрика/Коэффициент_мощности
card,22,086,LED,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/086/Контур/LED/Энергия/Прямая_активная_кВтч
card,22,086,HPS,Управление,Включено,/Теплица/Досветка/Карта/086/Контур/HPS/Управление/Включено
card,22,086,HPS,Управление,ШИМ,/Теплица/Досветка/Карта/086/Контур/HPS/Управление/ШИМ
card,22,086,HPS,Мощность,Вт,/Теплица/Досветка/Карта/086/Контур/HPS/Мощность/Вт
card,22,086,HPS,Электрика,Ток_L1,/Теплица/Досветка/Карта/086/Контур/HPS/Электрика/Ток_L1
card,22,086,HPS,Электрика,Ток_L2,/Теплица/Досветка/Карта/086/Контур/HPS/Электрика/Ток_L2
card,22,086,HPS,Электрика,Ток_L3,/Теплица/Досветка/Карта/086/Контур/HPS/Электрика/Ток_L3
card,22,086,HPS,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/086/Контур/HPS/Электрика/Коэффициент_мощности
card,22,086,HPS,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/086/Контур/HPS/Энергия/Прямая_активная_кВтч
card,22,087,LED,Управление,Включено,/Теплица/Досветка/Карта/087/Контур/LED/Управление/Включено
card,22,087,LED,Управление,ШИМ_A,/Теплица/Досветка/Карта/087/Контур/LED/Управление/ШИМ_A
card,22,087,LED,Управление,ШИМ_B,/Теплица/Досветка/Карта/087/Контур/LED/Управление/ШИМ_B
card,22,087,LED,Мощность,Вт,/Теплица/Досветка/Карта/087/Контур/LED/Мощность/Вт
card,22,087,LED,Электрика,Ток_L1,/Теплица/Досветка/Карта/087/Контур/LED/Электрика/Ток_L1
card,22,087,LED,Электрика,Ток_L2,/Теплица/Досветка/Карта/087/Контур/LED/Электрика/Ток_L2
card,22,087,LED,Электрика,Ток_L3,/Теплица/Досветка/Карта/087/Контур/LED/Электрика/Ток_L3
card,22,087,LED,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/087/Контур/LED/Электрика/Коэффициент_мощности
card,22,087,LED,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/087/Контур/LED/Энергия/Прямая_активная_кВтч
card,22,087,HPS,Управление,Включено,/Теплица/Досветка/Карта/087/Контур/HPS/Управление/Включено
card,22,087,HPS,Управление,ШИМ,/Теплица/Досветка/Карта/087/Контур/HPS/Управление/ШИМ
card,22,087,HPS,Мощность,Вт,/Теплица/Досветка/Карта/087/Контур/HPS/Мощность/Вт
card,22,087,HPS,Электрика,Ток_L1,/Теплица/Досветка/Карта/087/Контур/HPS/Электрика/Ток_L1
card,22,087,HPS,Электрика,Ток_L2,/Теплица/Досветка/Карта/087/Контур/HPS/Электрика/Ток_L2
card,22,087,HPS,Электрика,Ток_L3,/Теплица/Досветка/Карта/087/Контур/HPS/Электрика/Ток_L3
card,22,087,HPS,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/087/Контур/HPS/Электрика/Коэффициент_мощности
card,22,087,HPS,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/087/Контур/HPS/Энергия/Прямая_активная_кВтч
cabinet,23,,,Общее,Авто_режим,/Теплица/Досветка/ЩД/23/Общее/Авто_режим
cabinet,23,,,Общее,Напряжение_L1,/Теплица/Досветка/ЩД/23/Общее/Напряжение_L1
cabinet,23,,,Общее,Напряжение_L2,/Теплица/Досветка/ЩД/23/Общее/Напряжение_L2
cabinet,23,,,Общее,Напряжение_L3,/Теплица/Досветка/ЩД/23/Общее/Напряжение_L3
cabinet,23,,,Общее,Частота,/Теплица/Досветка/ЩД/23/Общее/Частота
cabinet,23,,,Общее,Освещённость,/Теплица/Досветка/ЩД/23/Общее/Освещённость
cabinet,23,,,Общее,Температура,/Теплица/Досветка/ЩД/23/Общее/Температура
cabinet,23,,,Общее,Влажность,/Теплица/Досветка/ЩД/23/Общее/Влажность
cabinet,23,,,Общее,ИБП_Состояние_батареи,/Теплица/Досветка/ЩД/23/Общее/ИБП_Состояние_батареи
cabinet,23,,,Общее,ИБП_Заряд_проц,/Теплица/Досветка/ЩД/23/Общее/ИБП_Заряд_проц
card,23,088,LED,Управление,Включено,/Теплица/Досветка/Карта/088/Контур/LED/Управление/Включено
card,23,088,LED,Управление,ШИМ_A,/Теплица/Досветка/Карта/088/Контур/LED/Управление/ШИМ_A
card,23,088,LED,Управление,ШИМ_B,/Теплица/Досветка/Карта/088/Контур/LED/Управление/ШИМ_B
card,23,088,LED,Мощность,Вт,/Теплица/Досветка/Карта/088/Контур/LED/Мощность/Вт
card,23,088,LED,Электрика,Ток_L1,/Теплица/Досветка/Карта/088/Контур/LED/Электрика/Ток_L1
